ts	iface	rx_bytes	tx_bytes
1787880511.499789656	s4-eth16	1299784	132653555
1787880511.499789656	s4-eth17	1413303	138196992
1787880511.499789656	s4-eth18	536711	80226899
1787880511.499789656	s4-eth19	842655	718075497
1787880511.499789656	s4-eth2	310768	307926
1787880511.499789656	s4-eth20	182128	135586799
1787880511.499789656	s4-eth21	5310	124720654
1787880511.499789656	s4-eth22	911395	187025399
1787880511.499789656	s4-eth23	113383	1217434889
1787880511.499789656	s4-eth24	758981	163865724
1787880511.499789656	s4-eth25	1252163	211055936
1787880511.499789656	s4-eth26	533884	158091116
1787880511.499789656	s4-eth27	19581	1594110227
1787880511.499789656	s4-eth28	1006139	69812710
1787880511.499789656	s4-eth29	79970	12030526
1787880511.499789656	s4-eth3	820355	458902087
1787880511.499789656	s4-eth30	1725045	122255352
1787880511.499789656	s4-eth31	796222	1238895895
1787880511.499789656	s4-eth32	1139250	80177733
1787880511.499789656	s4-eth33	1199997	85798000
1787880511.499789656	s4-eth34	529822	38541941
1787880511.499789656	s4-eth4	185895	69755661
1787880511.499789656	s4-eth5	1092141	121783131
1787880511.499789656	s4-eth6	1421875	146282203
1787880511.499789656	s4-eth7	172310	1154857545
1787880511.499789656	s4-eth8	446694	85039524
1787880511.499789656	s4-eth9	231835	70354728
1787880511.499789656	s5-eth1	17965382912	21893165
1787880511.499789656	s5-eth2	7522837502	7564714567
1787880511.499789656	s5-eth3	29104776	14775948062
1787880511.499789656	s5-eth4	321904	308199
1787880511.499789656	s6-eth1	741010107	310838
1787880511.499789656	s6-eth2	310768	203011168
1787880511.499789656	s6-eth3	310768	356714361
1787880511.499789656	s6-eth4	322029	310768
1787880511.499789656	s7-eth1	7610557557	7988017975
1787880511.499789656	s7-eth2	25518659	12044701770
1787880511.499789656	s7-eth3	14286943387	29106024
1787880511.499789656	s7-eth4	321806	310768
1787880511.499789656	s8-eth1	310768	310838
1787880511.499789656	s8-eth2	307926	310768
1787880511.499789656	s8-eth3	310768	308199
1787880511.499789656	s8-eth4	321904	310768
1787880511.499789656	s9-eth1	14775948062	29104776
1787880511.499789656	s9-eth2	356714361	310768
1787880511.499789656	s9-eth3	29106024	14286943387
1787880511.499789656	s9-eth4	308199	310768
1787880513.785045523	s10-eth1	308199	321904
1787880513.785045523	s10-eth2	310768	322029
1787880513.785045523	s10-eth3	310768	321806
1787880513.785045523	s10-eth4	310768	321904
1787880513.785045523	s1-eth1	21893165	17965382912
1787880513.785045523	s1-eth10	6360	12021
1787880513.785045523	s1-eth11	2220912817	27977
1787880513.785045523	s1-eth12	267136824	561935
1787880513.785045523	s1-eth13	32263310	290390
1787880513.785045523	s1-eth14	252901660	316706
1787880513.785045523	s1-eth15	1183334748	2051261
1787880513.785045523	s1-eth16	244106365	179662
1787880513.785045523	s1-eth17	101797936	1362319
1787880513.785045523	s1-eth18	218880992	12162
1787880513.785045523	s1-eth19	5847542510	102714
1787880513.785045523	s1-eth2	310865	741010134
1787880513.785045523	s1-eth20	325325875	1174140
1787880513.785045523	s1-eth21	317937491	1346253
1787880513.785045523	s1-eth22	26877925	184286
1787880513.785045523	s1-eth23	1258237183	462423
1787880513.785045523	s1-eth24	234972870	12835
1787880513.785045523	s1-eth25	95928949	1134194
1787880513.785045523	s1-eth26	309749321	1069087
1787880513.785045523	s1-eth27	1284768759	96474
1787880513.785045523	s1-eth28	5706	11484
1787880513.785045523	s1-eth29	31921216	437677
1787880513.785045523	s1-eth3	6338986715	4778566
1787880513.785045523	s1-eth30	5486379	112308
1787880513.785045523	s1-eth31	1255231539	453561
1787880513.785045523	s1-eth32	218882390	12008
1787880513.785045523	s1-eth33	22476479	361354
1787880513.785045523	s1-eth34	21825547	132697
1787880513.785045523	s1-eth4	261862565	446050
1787880513.785045523	s1-eth5	262062186	473151
1787880513.785045523	s1-eth6	238901887	88755
1787880513.785045523	s1-eth7	1371336781	1665205
1787880513.785045523	s1-eth8	326685317	1533250
1787880513.785045523	s1-eth9	79895831	1008382
1787880513.785045523	s2-eth1	7564714594	7522837529
1787880513.785045523	s2-eth10	277950919	729792
1787880513.785045523	s2-eth11	2311507622	2617716
1787880513.785045523	s2-eth12	52175267	877537
1787880513.785045523	s2-eth13	51485309	609129
1787880513.785045523	s2-eth14	16099467	12168
1787880513.785045523	s2-eth15	1146688095	1756946
1787880513.785045523	s2-eth16	312772230	1305026
1787880513.785045523	s2-eth17	319194810	1417667
1787880513.785045523	s2-eth18	248788317	544122
1787880513.785045523	s2-eth19	95269	3451825081
1787880513.785045523	s2-eth2	203011195	310795
1787880513.785045523	s2-eth20	1168406	164529108
1787880513.785045523	s2-eth21	1339132	153182409
1787880513.785045523	s2-eth22	177086	14540532
1787880513.785045523	s2-eth23	455391	1028628687
1787880513.785045523	s2-eth24	5390	68525785
1787880513.785045523	s2-eth25	1129485	83710535
1787880513.785045523	s2-eth26	1062688	141829571
1787880513.785045523	s2-eth27	89214	1057618111
1787880513.785045523	s2-eth28	4195	12349
1787880513.785045523	s2-eth29	430440	31530900
1787880513.785045523	s2-eth3	1292937542	826591
1787880513.785045523	s2-eth30	104951	5328510
1787880513.785045523	s2-eth31	447019	1027438583
1787880513.785045523	s2-eth32	4508	62198487
1787880513.785045523	s2-eth33	354127	22149678
1787880513.785045523	s2-eth34	125161	9432745
1787880513.785045523	s2-eth4	245667229	193484
1787880513.785045523	s2-eth5	299218689	1095842
1787880513.785045523	s2-eth6	323710335	1429327
1787880513.785045523	s2-eth7	1278254634	179830
1787880513.785045523	s2-eth8	262555326	451050
1787880513.785045523	s2-eth9	247783373	238603
1787880513.785045523	s3-eth1	7988018002	7610557584
1787880513.785045523	s3-eth10	4434	11976
1787880513.785045523	s3-eth11	20230	1098712147
1787880513.785045523	s3-eth12	554453	81990021
1787880513.785045523	s3-eth13	282729	17391530
1787880513.785045523	s3-eth14	309275	67346712
1787880513.785045523	s3-eth15	2046308	951452961
1787880513.785045523	s3-eth16	172398	58164942
1787880513.785045523	s3-eth17	1358738	85670816
1787880513.785045523	s3-eth18	4572	47643485
1787880513.785045523	s3-eth19	1301318556	850051
1787880513.785045523	s3-eth2	310865	310795
1787880513.785045523	s3-eth20	246048590	189296
1787880513.785045523	s3-eth21	234975662	12854
1787880513.785045523	s3-eth22	298591159	918503
1787880513.785045523	s3-eth23	1275685258	121110
1787880513.785045523	s3-eth24	267317354	766152
1787880513.785045523	s3-eth25	325237827	1259221
1787880513.785045523	s3-eth26	272460165	540278
1787880513.785045523	s3-eth27	2220953544	27301
1787880513.785045523	s3-eth28	80099719	1013323
1787880513.785045523	s3-eth29	21417591	86914
1787880513.785045523	s3-eth3	4771619	3809551574
1787880513.785045523	s3-eth30	133981219	1729703
1787880513.785045523	s3-eth31	1280067400	802371
1787880513.785045523	s3-eth32	91029911	1146372
1787880513.785045523	s3-eth33	96360829	1203143
1787880513.785045523	s3-eth34	48326776	536578
1787880513.785045523	s3-eth4	439471	80563310
1787880513.785045523	s3-eth5	466206	79834575
1787880513.785045523	s3-eth6	81320	56161531
1787880513.785045523	s3-eth7	1660591	1081867798
1787880513.785045523	s3-eth8	1527261	141613867
1787880513.785045523	s3-eth9	1002096	64474662
1787880513.785045523	s4-eth1	12044701797	25518686
1787880513.785045523	s4-eth10	722360	100035529
1787880513.785045523	s4-eth11	2616158	1450211362
1787880513.785045523	s4-eth12	872928	50856227
1787880513.785045523	s4-eth13	602709	39191890
1787880513.785045523	s4-eth14	4284	4305197
1787880513.785045523	s4-eth15	1754348	1030886499
1787880513.785045523	s4-eth16	1299784	132653555
1787880513.785045523	s4-eth17	1413303	138196992
1787880513.785045523	s4-eth18	536711	80226899
1787880513.785045523	s4-eth19	842655	718075497
1787880513.785045523	s4-eth2	310795	307953
1787880513.785045523	s4-eth20	182128	135586799
1787880513.785045523	s4-eth21	5310	124720654
1787880513.785045523	s4-eth22	911395	187025399
1787880513.785045523	s4-eth23	113383	1217434889
1787880513.785045523	s4-eth24	758981	163865724
1787880513.785045523	s4-eth25	1252163	211055936
1787880513.785045523	s4-eth26	533884	158091116
1787880513.785045523	s4-eth27	19581	1594110227
1787880513.785045523	s4-eth28	1006139	69812710
1787880513.785045523	s4-eth29	79970	12030526
1787880513.785045523	s4-eth3	820355	458902087
1787880513.785045523	s4-eth30	1725045	122255352
1787880513.785045523	s4-eth31	796222	1238895895
1787880513.785045523	s4-eth32	1139250	80177733
1787880513.785045523	s4-eth33	1199997	85798000
1787880513.785045523	s4-eth34	529822	38541941
1787880513.785045523	s4-eth4	185895	69755661
1787880513.785045523	s4-eth5	1092141	121783131
1787880513.785045523	s4-eth6	1421875	146282203
1787880513.785045523	s4-eth7	172310	1154857545
1787880513.785045523	s4-eth8	446694	85039524
1787880513.785045523	s4-eth9	231835	70354728
1787880513.785045523	s5-eth1	17965382939	21893192
1787880513.785045523	s5-eth2	7522837529	7564714594
1787880513.785045523	s5-eth3	29104803	14775948089
1787880513.785045523	s5-eth4	321932	308226
1787880513.785045523	s6-eth1	741010134	310865
1787880513.785045523	s6-eth2	310795	203011195
1787880513.785045523	s6-eth3	310795	356714388
1787880513.785045523	s6-eth4	322057	310795
1787880513.785045523	s7-eth1	7610557584	7988018002
1787880513.785045523	s7-eth2	25518686	12044701797
1787880513.785045523	s7-eth3	14286943414	29106051
1787880513.785045523	s7-eth4	321834	310795
1787880513.785045523	s8-eth1	310795	310865
1787880513.785045523	s8-eth2	307953	310795
1787880513.785045523	s8-eth3	310795	308226
1787880513.785045523	s8-eth4	321932	310795
1787880513.785045523	s9-eth1	14775948089	29104803
1787880513.785045523	s9-eth2	356714388	310795
1787880513.785045523	s9-eth3	29106051	14286943414
1787880513.785045523	s9-eth4	308226	310795
1787880516.078928341	s10-eth1	308226	321932
1787880516.078928341	s10-eth2	310795	322057
1787880516.078928341	s10-eth3	310795	321834
1787880516.078928341	s10-eth4	310795	321932
1787880516.078928341	s1-eth1	21896038	17965430195
1787880516.078928341	s1-eth10	6360	12021
1787880516.078928341	s1-eth11	2220927936	28497
1787880516.078928341	s1-eth12	267136824	561935
1787880516.078928341	s1-eth13	32263310	290390
1787880516.078928341	s1-eth14	252901660	316706
1787880516.078928341	s1-eth15	1183368613	2051781
1787880516.078928341	s1-eth16	244106365	179662
1787880516.078928341	s1-eth17	101797936	1362319
1787880516.078928341	s1-eth18	218880992	12162
1787880516.078928341	s1-eth19	5847928302	103301
1787880516.078928341	s1-eth2	310865	741010134
1787880516.078928341	s1-eth20	325325875	1174140
1787880516.078928341	s1-eth21	317937491	1346253
1787880516.078928341	s1-eth22	26877925	184286
1787880516.078928341	s1-eth23	1258346032	462943
1787880516.078928341	s1-eth24	234972870	12835
1787880516.078928341	s1-eth25	95928949	1134194
1787880516.078928341	s1-eth26	309749321	1069087
1787880516.078928341	s1-eth27	1284922584	97072
1787880516.078928341	s1-eth28	5706	11484
1787880516.078928341	s1-eth29	31921216	437677
1787880516.078928341	s1-eth3	6339786361	4779153
1787880516.078928341	s1-eth30	5486379	112308
1787880516.078928341	s1-eth31	1255425466	454081
1787880516.078928341	s1-eth32	218882390	12008
1787880516.078928341	s1-eth33	22476479	361354
1787880516.078928341	s1-eth34	21825547	132697
1787880516.078928341	s1-eth4	261862565	446050
1787880516.078928341	s1-eth5	262062186	473151
1787880516.078928341	s1-eth6	238901887	88755
1787880516.078928341	s1-eth7	1371631934	1665870
1787880516.078928341	s1-eth8	326685317	1533250
1787880516.078928341	s1-eth9	79895831	1008382
1787880516.078928341	s2-eth1	7566846840	7523916984
1787880516.078928341	s2-eth10	277950919	729792
1787880516.078928341	s2-eth11	2311863053	2618236
1787880516.078928341	s2-eth12	52175267	877537
1787880516.078928341	s2-eth13	51485309	609129
1787880516.078928341	s2-eth14	16099467	12168
1787880516.078928341	s2-eth15	1147088372	1757533
1787880516.078928341	s2-eth16	312772230	1305026
1787880516.078928341	s2-eth17	319194810	1417667
1787880516.078928341	s2-eth18	248788317	544122
1787880516.078928341	s2-eth19	95856	3453500021
1787880516.078928341	s2-eth2	203011195	310795
1787880516.078928341	s2-eth20	1168406	164529108
1787880516.078928341	s2-eth21	1339132	153182409
1787880516.078928341	s2-eth22	177086	14540532
1787880516.078928341	s2-eth23	455911	1029057660
1787880516.078928341	s2-eth24	5390	68525785
1787880516.078928341	s2-eth25	1129485	83710535
1787880516.078928341	s2-eth26	1062688	141829571
1787880516.078928341	s2-eth27	89812	1058100712
1787880516.078928341	s2-eth28	4195	12349
1787880516.078928341	s2-eth29	430440	31530900
1787880516.078928341	s2-eth3	1293046391	827111
1787880516.078928341	s2-eth30	104951	5328510
1787880516.078928341	s2-eth31	447539	1027964170
1787880516.078928341	s2-eth32	4508	62198487
1787880516.078928341	s2-eth33	354127	22149678
1787880516.078928341	s2-eth34	125161	9432745
1787880516.078928341	s2-eth4	245667229	193484
1787880516.078928341	s2-eth5	299218689	1095842
1787880516.078928341	s2-eth6	323710335	1429327
1787880516.078928341	s2-eth7	1278837901	180350
1787880516.078928341	s2-eth8	262555326	451050
1787880516.078928341	s2-eth9	247783373	238603
1787880516.078928341	s3-eth1	7991952693	7612444482
1787880516.078928341	s3-eth10	4434	11976
1787880516.078928341	s3-eth11	20750	1099280994
1787880516.078928341	s3-eth12	554453	81990021
1787880516.078928341	s3-eth13	282729	17391530
1787880516.078928341	s3-eth14	309275	67346712
1787880516.078928341	s3-eth15	2046828	952007388
1787880516.078928341	s3-eth16	172398	58164942
1787880516.078928341	s3-eth17	1358738	85670816
1787880516.078928341	s3-eth18	4572	47643485
1787880516.078928341	s3-eth19	1301447593	850571
1787880516.078928341	s3-eth2	310865	310795
1787880516.078928341	s3-eth20	246048590	189296
1787880516.078928341	s3-eth21	234975662	12854
1787880516.078928341	s3-eth22	298591159	918503
1787880516.078928341	s3-eth23	1276350719	121630
1787880516.078928341	s3-eth24	267317354	766152
1787880516.078928341	s3-eth25	325237827	1259221
1787880516.078928341	s3-eth26	272460165	540278
1787880516.078928341	s3-eth27	2221642077	27821
1787880516.078928341	s3-eth28	80099719	1013323
1787880516.078928341	s3-eth29	21417591	86914
1787880516.078928341	s3-eth3	4772206	3812244566
1787880516.078928341	s3-eth30	133981219	1729703
1787880516.078928341	s3-eth31	1280780447	802891
1787880516.078928341	s3-eth32	91029911	1146372
1787880516.078928341	s3-eth33	96360829	1203143
1787880516.078928341	s3-eth34	48326776	536578
1787880516.078928341	s3-eth4	439471	80563310
1787880516.078928341	s3-eth5	466206	79834575
1787880516.078928341	s3-eth6	81320	56161531
1787880516.078928341	s3-eth7	1661256	1082571037
1787880516.078928341	s3-eth8	1527261	141613867
1787880516.078928341	s3-eth9	1002096	64474662
1787880516.078928341	s4-eth1	12049382431	25522913
1787880516.078928341	s4-eth10	722360	100035529
1787880516.078928341	s4-eth11	2616678	1450941713
1787880516.078928341	s4-eth12	872928	50856227
1787880516.078928341	s4-eth13	602709	39191890
1787880516.078928341	s4-eth14	4284	4305197
1787880516.078928341	s4-eth15	1754935	1031648652
1787880516.078928341	s4-eth16	1299784	132653555
1787880516.078928341	s4-eth17	1413303	138196992
1787880516.078928341	s4-eth18	536711	80226899
1787880516.078928341	s4-eth19	843175	718237700
1787880516.078928341	s4-eth2	310795	307953
1787880516.078928341	s4-eth20	182128	135586799
1787880516.078928341	s4-eth21	5310	124720654
1787880516.078928341	s4-eth22	911395	187025399
1787880516.078928341	s4-eth23	113903	1218254644
1787880516.078928341	s4-eth24	758981	163865724
1787880516.078928341	s4-eth25	1252163	211055936
1787880516.078928341	s4-eth26	533884	158091116
1787880516.078928341	s4-eth27	20101	1594935750
1787880516.078928341	s4-eth28	1006139	69812710
1787880516.078928341	s4-eth29	79970	12030526
1787880516.078928341	s4-eth3	820875	459062848
1787880516.078928341	s4-eth30	1725045	122255352
1787880516.078928341	s4-eth31	796742	1239737280
1787880516.078928341	s4-eth32	1139250	80177733
1787880516.078928341	s4-eth33	1199997	85798000
1787880516.078928341	s4-eth34	529822	38541941
1787880516.078928341	s4-eth4	185895	69755661
1787880516.078928341	s4-eth5	1092141	121783131
1787880516.078928341	s4-eth6	1421875	146282203
1787880516.078928341	s4-eth7	172830	1155701814
1787880516.078928341	s4-eth8	446694	85039524
1787880516.078928341	s4-eth9	231835	70354728
1787880516.078928341	s5-eth1	17977561171	21897709
1787880516.078928341	s5-eth2	7525658920	7570646510
1787880516.078928341	s5-eth3	29109242	14784802302
1787880516.078928341	s5-eth4	321932	308226
1787880516.078928341	s6-eth1	741010134	310865
1787880516.078928341	s6-eth2	310795	203011195
1787880516.078928341	s6-eth3	310795	356714388
1787880516.078928341	s6-eth4	322057	310795
1787880516.078928341	s7-eth1	7613438020	7994056571
1787880516.078928341	s7-eth2	25522913	12050410577
1787880516.078928341	s7-eth3	14295947595	29110490
1787880516.078928341	s7-eth4	321834	310795
1787880516.078928341	s8-eth1	310795	310865
1787880516.078928341	s8-eth2	307953	310795
1787880516.078928341	s8-eth3	310795	308226
1787880516.078928341	s8-eth4	321932	310795
1787880516.078928341	s9-eth1	14785159918	29109242
1787880516.078928341	s9-eth2	356714388	310795
1787880516.078928341	s9-eth3	29110490	14296155243
1787880516.078928341	s9-eth4	308226	310795
1787880519.549766095	s10-eth1	308253	321960
1787880519.549766095	s10-eth2	310822	322085
1787880519.549766095	s10-eth3	310822	321862
1787880519.549766095	s10-eth4	310822	321960
1787880519.549766095	s1-eth1	21897736	17997176724
1787880519.549766095	s1-eth10	6360	12021
1787880519.549766095	s1-eth11	2223207738	28497
